"","Name","Party","Rank","VoteCount","VoteShare","Title"
"322","Eddie A. Rasul","Democratic Party","5 of 11","1,093","7.7%","Election Results for 1987 Primary Election, Alderman, Ward 27, Chicago, IL"
"323","Eddie Wallace, Jr.","Democratic Party","6 of 11","867","6.1%","Election Results for 1987 Primary Election, Alderman, Ward 27, Chicago, IL"
"324","Consuela Aida Williams","Democratic Party","7 of 11","538","3.8%","Election Results for 1987 Primary Election, Alderman, Ward 27, Chicago, IL"
"325","Marion E. Thomas","Democratic Party","8 of 11","523","3.7%","Election Results for 1987 Primary Election, Alderman, Ward 27, Chicago, IL"
"326","Sylvia Y. Welch","Democratic Party","9 of 11","507","3.6%","Election Results for 1987 Primary Election, Alderman, Ward 27, Chicago, IL"
"327","Verdell Trice","Democratic Party","10 of 11","471","3.3%","Election Results for 1987 Primary Election, Alderman, Ward 27, Chicago, IL"
"328","Gregory P. Winbush","Democratic Party","11 of 11","361","2.5%","Election Results for 1987 Primary Election, Alderman, Ward 27, Chicago, IL"
"329","Ed H. Smith","Democratic Party","1 of 3","12,657","78.7%","Election Results for 1987 Primary Election, Alderman, Ward 28, Chicago, IL"
"330","Wynell Parker","Democratic Party","2 of 3","2,141","13.3%","Election Results for 1987 Primary Election, Alderman, Ward 28, Chicago, IL"
"331","Ollie Simmons","Democratic Party","3 of 3","1,290","8.0%","Election Results for 1987 Primary Election, Alderman, Ward 28, Chicago, IL"
"332","Danny K. Davis","Democratic Party","1 of 2","14,748","85.2%","Election Results for 1987 Primary Election, Alderman, Ward 29, Chicago, IL"
"333","Margaret M. Parker","Democratic Party","2 of 2","2,560","14.8%","Election Results for 1987 Primary Election, Alderman, Ward 29, Chicago, IL"
"334","Dorothy J. Tillman","Democratic Party","1 of 3","13,479","79.1%","Election Results for 1987 Primary Election, Alderman, Ward 3, Chicago, IL"
"335","Jerry Washington","Democratic Party","2 of 3","2,706","15.9%","Election Results for 1987 Primary Election, Alderman, Ward 3, Chicago, IL"
"336","Cleaophas Ingram","Democratic Party","3 of 3","854","5.0%","Election Results for 1987 Primary Election, Alderman, Ward 3, Chicago, IL"
"337","George J. Hagopian","Democratic Party","1 of 2","11,509","61.7%","Election Results for 1987 Primary Election, Alderman, Ward 30, Chicago, IL"
"338","Burt Sillins","Democratic Party","2 of 2","7,135","38.3%","Election Results for 1987 Primary Election, Alderman, Ward 30, Chicago, IL"
"339","Miguel A. Santiago","Democratic Party","1 of 7","5,146","39.5%","Election Results for 1987 Primary Election, Alderman, Ward 31, Chicago, IL"
"340","Raymond A. Figueroa","Democratic Party","2 of 7","2,764","21.2%","Election Results for 1987 Primary Election, Alderman, Ward 31, Chicago, IL"
"341","Migdalia Collazo","Democratic Party","3 of 7","2,097","16.1%","Election Results for 1987 Primary Election, Alderman, Ward 31, Chicago, IL"
"342","Francisco Du'prey","Democratic Party","4 of 7","1,469","11.3%","Election Results for 1987 Primary Election, Alderman, Ward 31, Chicago, IL"
"343","Benjamin Rosado","Democratic Party","5 of 7","804","6.2%","Election Results for 1987 Primary Election, Alderman, Ward 31, Chicago, IL"
"344","Esmagde Noel Cristia","Democratic Party","6 of 7","515","4.0%","Election Results for 1987 Primary Election, Alderman, Ward 31, Chicago, IL"
"345","Carnell Adams","Democratic Party","7 of 7","223","1.7%","Election Results for 1987 Primary Election, Alderman, Ward 31, Chicago, IL"
"346","Theris M. Gabinski","Democratic Party","1 of 2","11,436","75.3%","Election Results for 1987 Primary Election, Alderman, Ward 32, Chicago, IL"
"347","Emma Lozano Rico","Democratic Party","2 of 2","3,759","24.7%","Election Results for 1987 Primary Election, Alderman, Ward 32, Chicago, IL"
"348","Richard F. Mell","Democratic Party","1 of 3","13,687","76.5%","Election Results for 1987 Primary Election, Alderman, Ward 33, Chicago, IL"
"349","Donald L. Benedict","Democratic Party","2 of 3","3,902","21.8%","Election Results for 1987 Primary Election, Alderman, Ward 33, Chicago, IL"
"350","V. Stephen Vetter","Democratic Party","3 of 3","303","1.7%","Election Results for 1987 Primary Election, Alderman, Ward 33, Chicago, IL"
"351","Lemuel Austin, Jr.","Democratic Party","1 of 10","8,179","33.2%","Election Results for 1987 Primary Election, Alderman, Ward 34, Chicago, IL"
"352","Ernest Terrell","Democratic Party","2 of 10","3,865","15.7%","Election Results for 1987 Primary Election, Alderman, Ward 34, Chicago, IL"
"353","Tommy Savage","Democratic Party","3 of 10","3,413","13.9%","Election Results for 1987 Primary Election, Alderman, Ward 34, Chicago, IL"
"354","Ronald Larry Phelps","Democratic Party","4 of 10","2,765","11.2%","Election Results for 1987 Primary Election, Alderman, Ward 34, Chicago, IL"
"355","Mercedes Mallette","Democratic Party","5 of 10","2,634","10.7%","Election Results for 1987 Primary Election, Alderman, Ward 34, Chicago, IL"
"356","Tommy Briscoe","Democratic Party","6 of 10","2,181","8.9%","Election Results for 1987 Primary Election, Alderman, Ward 34, Chicago, IL"
"357","Henry L. Hudson","Democratic Party","7 of 10","741","3.0%","Election Results for 1987 Primary Election, Alderman, Ward 34, Chicago, IL"
"358","Gary William Harper","Democratic Party","8 of 10","445","1.8%","Election Results for 1987 Primary Election, Alderman, Ward 34, Chicago, IL"
"359","Rochelle Simmons-watson","Democratic Party","9 of 10","282","1.1%","Election Results for 1987 Primary Election, Alderman, Ward 34, Chicago, IL"
"360","Howard Snipe","Democratic Party","10 of 10","120","0.5%","Election Results for 1987 Primary Election, Alderman, Ward 34, Chicago, IL"
"361","Joseph S. Kotlarz, Jr.","Democratic Party","1 of 7","10,179","56.1%","Election Results for 1987 Primary Election, Alderman, Ward 35, Chicago, IL"
"362","Chester R. Hornowski","Republican Party","2 of 7","2,634","14.5%","Election Results for 1987 Primary Election, Alderman, Ward 35, Chicago, IL"
"363","Therese Samulski","Democratic Party","3 of 7","2,462","13.6%","Election Results for 1987 Primary Election, Alderman, Ward 35, Chicago, IL"
"364","Paul S. Gall","Democratic Party","4 of 7","979","5.4%","Election Results for 1987 Primary Election, Alderman, Ward 35, Chicago, IL"
"365","Warren W. Sikorski","Democratic Party","5 of 7","888","4.9%","Election Results for 1987 Primary Election, Alderman, Ward 35, Chicago, IL"
"366","Joseph A. Jurek","Democratic Party","6 of 7","795","4.4%","Election Results for 1987 Primary Election, Alderman, Ward 35, Chicago, IL"
"367","Terry E. Allen","Democratic Party","7 of 7","220","1.2%","Election Results for 1987 Primary Election, Alderman, Ward 35, Chicago, IL"
"368","William J.p. Banks","Democratic Party","1 of 1","24,991","100.0%","Election Results for 1987 Primary Election, Alderman, Ward 36, Chicago, IL"
"369","Percy Z. Giles","Democratic Party","1 of 2","14,476","86.3%","Election Results for 1987 Primary Election, Alderman, Ward 37, Chicago, IL"
"370","James S. Hammonds","Democratic Party","2 of 2","2,294","13.7%","Election Results for 1987 Primary Election, Alderman, Ward 37, Chicago, IL"
"371","Thomas W. Cullerton","Democratic Party","1 of 5","14,610","51.7%","Election Results for 1987 Primary Election, Alderman, Ward 38, Chicago, IL"
"372","Victor J. Cacciatore","Democratic Party","2 of 5","11,013","38.9%","Election Results for 1987 Primary Election, Alderman, Ward 38, Chicago, IL"
"373","Dennis M. Boyle, Sr.","Democratic Party","3 of 5","1,071","3.8%","Election Results for 1987 Primary Election, Alderman, Ward 38, Chicago, IL"
"374","Albert F. Opitz","Democratic Party","4 of 5","841","3.0%","Election Results for 1987 Primary Election, Alderman, Ward 38, Chicago, IL"
"375","James A. Simpson","Democratic Party","5 of 5","745","2.6%","Election Results for 1987 Primary Election, Alderman, Ward 38, Chicago, IL"
"376","Anthony C. Laurino","Democratic Party","1 of 4","15,939","79.0%","Election Results for 1987 Primary Election, Alderman, Ward 39, Chicago, IL"
"377","Richard Fattore","Democratic Party","2 of 4","2,583","12.8%","Election Results for 1987 Primary Election, Alderman, Ward 39, Chicago, IL"
"378","Kenneth R. Hurst","Republican Party","3 of 4","877","4.3%","Election Results for 1987 Primary Election, Alderman, Ward 39, Chicago, IL"
"379","Leif O. Johnson","Democratic Party","4 of 4","786","3.9%","Election Results for 1987 Primary Election, Alderman, Ward 39, Chicago, IL"
"380","Timothy C. Evans","Washington Party","1 of 3","15,012","76.9%","Election Results for 1987 Primary Election, Alderman, Ward 4, Chicago, IL"
"381","Toni Preckwinkle","Democratic Party","2 of 3","4,109","21.1%","Election Results for 1987 Primary Election, Alderman, Ward 4, Chicago, IL"
"382","Excell M. Jones","Democratic Party","3 of 3","396","2.0%","Election Results for 1987 Primary Election, Alderman, Ward 4, Chicago, IL"
"383","Patrick J. O'connor","Democratic Party","1 of 4","9,528","55.4%","Election Results for 1987 Primary Election, Alderman, Ward 40, Chicago, IL"
"384","James Chronis","Democratic Party","2 of 4","5,801","33.7%","Election Results for 1987 Primary Election, Alderman, Ward 40, Chicago, IL"
"385","Mary O'connor Garay","Democratic Party","3 of 4","1,189","6.9%","Election Results for 1987 Primary Election, Alderman, Ward 40, Chicago, IL"
"386","John W. Bingham","Democratic Party","4 of 4","696","4.0%","Election Results for 1987 Primary Election, Alderman, Ward 40, Chicago, IL"
"387","Roman C. Pucinski","Democratic Party","1 of 5","16,715","54.1%","Election Results for 1987 Primary Election, Alderman, Ward 41, Chicago, IL"
"388","Richard R. Kunicki","Democratic Party","2 of 5","10,072","32.6%","Election Results for 1987 Primary Election, Alderman, Ward 41, Chicago, IL"
"389","Salvatore G. Terranova","Republican Party","3 of 5","3,140","10.2%","Election Results for 1987 Primary Election, Alderman, Ward 41, Chicago, IL"
"390","Sheila B. O'connell","Democratic Party","4 of 5","692","2.2%","Election Results for 1987 Primary Election, Alderman, Ward 41, Chicago, IL"
"391","Thomas James Kolk","Democratic Party","5 of 5","284","0.9%","Election Results for 1987 Primary Election, Alderman, Ward 41, Chicago, IL"
"392","Burton F. Natarus","Democratic Party","1 of 7","10,069","47.3%","Election Results for 1987 Primary Election, Alderman, Ward 42, Chicago, IL"
"393","Barbara K. Pressman","Democratic Party","2 of 7","3,767","17.7%","Election Results for 1987 Primary Election, Alderman, Ward 42, Chicago, IL"
"394","Denise A. Barnes","Democratic Party","3 of 7","2,348","11.0%","Election Results for 1987 Primary Election, Alderman, Ward 42, Chicago, IL"
"395","Robert A. Copia","Democratic Party","4 of 7","2,060","9.7%","Election Results for 1987 Primary Election, Alderman, Ward 42, Chicago, IL"
"396","Ray J. Smith","Democratic Party","5 of 7","1,922","9.0%","Election Results for 1987 Primary Election, Alderman, Ward 42, Chicago, IL"
"397","Maxine Brown","Democratic Party","6 of 7","837","3.9%","Election Results for 1987 Primary Election, Alderman, Ward 42, Chicago, IL"
"398","James Wright","Democratic Party","7 of 7","268","1.3%","Election Results for 1987 Primary Election, Alderman, Ward 42, Chicago, IL"
"399","Edwin W. Eisendrath","Democratic Party","1 of 5","8,808","35.7%","Election Results for 1987 Primary Election, Alderman, Ward 43, Chicago, IL"
"400","Robert G. Perkins","Democratic Party","2 of 5","7,845","31.8%","Election Results for 1987 Primary Election, Alderman, Ward 43, Chicago, IL"
"401","Barbara Wood","Democratic Party","3 of 5","6,528","26.4%","Election Results for 1987 Primary Election, Alderman, Ward 43, Chicago, IL"
"402","Joseph L. Ponsetto","Democratic Party","4 of 5","783","3.2%","Election Results for 1987 Primary Election, Alderman, Ward 43, Chicago, IL"
"403","Brian M. Collins","Democratic Party","5 of 5","720","2.9%","Election Results for 1987 Primary Election, Alderman, Ward 43, Chicago, IL"
"404","Bernard J. Hansen","Democratic Party","1 of 2","12,009","53.6%","Election Results for 1987 Primary Election, Alderman, Ward 44, Chicago, IL"
"405","Ron Sable","Democratic Party","2 of 2","10,393","46.4%","Election Results for 1987 Primary Election, Alderman, Ward 44, Chicago, IL"
"406","Patrick J. Levar","Democratic Party","1 of 4","15,557","54.3%","Election Results for 1987 Primary Election, Alderman, Ward 45, Chicago, IL"
"407","Gerald M. Mclaughlin","Democratic Party","2 of 4","10,908","38.1%","Election Results for 1987 Primary Election, Alderman, Ward 45, Chicago, IL"
"408","John L. Donovan","Democratic Party","3 of 4","1,423","5.0%","Election Results for 1987 Primary Election, Alderman, Ward 45, Chicago, IL"
"409","Daniel T. Schmitt","Democratic Party","4 of 4","736","2.6%","Election Results for 1987 Primary Election, Alderman, Ward 45, Chicago, IL"
"410","Jerome M. Orbach","Democratic Party","1 of 4","7,448","40.7%","Election Results for 1987 Primary Election, Alderman, Ward 46, Chicago, IL"
"411","Helen Shiller","Democratic Party","2 of 4","6,866","37.5%","Election Results for 1987 Primary Election, Alderman, Ward 46, Chicago, IL"
"412","Nancy Kaszak","Democratic Party","3 of 4","3,761","20.6%","Election Results for 1987 Primary Election, Alderman, Ward 46, Chicago, IL"
"413","Gerald Pechenuk","Democratic Party","4 of 4","215","1.2%","Election Results for 1987 Primary Election, Alderman, Ward 46, Chicago, IL"
"414","Eugene C. Schulter","Democratic Party","1 of 4","15,554","77.4%","Election Results for 1987 Primary Election, Alderman, Ward 47, Chicago, IL"
"415","Paul R. T. Johnson","Democratic Party","2 of 4","3,242","16.1%","Election Results for 1987 Primary Election, Alderman, Ward 47, Chicago, IL"
"416","Joan J. Macaluso","Democratic Party","3 of 4","736","3.7%","Election Results for 1987 Primary Election, Alderman, Ward 47, Chicago, IL"
"417","Thomas M. Forte","Democratic Party","4 of 4","566","2.8%","Election Results for 1987 Primary Election, Alderman, Ward 47, Chicago, IL"
"418","Kathy Osterman","Democratic Party","1 of 11","4,404","25.8%","Election Results for 1987 Primary Election, Alderman, Ward 48, Chicago, IL"
"419","Sharon Rae Bender","Democratic Party","2 of 11","3,040","17.8%","Election Results for 1987 Primary Election, Alderman, Ward 48, Chicago, IL"
"420","Robert B. Remer","Democratic Party","3 of 11","1,923","11.3%","Election Results for 1987 Primary Election, Alderman, Ward 48, Chicago, IL"
"421","Adrian S. Capehart","Democratic Party","4 of 11","1,868","10.9%","Election Results for 1987 Primary Election, Alderman, Ward 48, Chicago, IL"
"422","Michael Radizilowski","Democratic Party","5 of 11","1,668","9.8%","Election Results for 1987 Primary Election, Alderman, Ward 48, Chicago, IL"
"423","Brendan T. Clancy","Democratic Party","6 of 11","1,473","8.6%","Election Results for 1987 Primary Election, Alderman, Ward 48, Chicago, IL"
"424","John E. Mcneal","Democratic Party","7 of 11","1,010","5.9%","Election Results for 1987 Primary Election, Alderman, Ward 48, Chicago, IL"
"425","John P. Gorman","Democratic Party","8 of 11","888","5.2%","Election Results for 1987 Primary Election, Alderman, Ward 48, Chicago, IL"
"426","Jane Mcdougall","Democratic Party","9 of 11","459","2.7%","Election Results for 1987 Primary Election, Alderman, Ward 48, Chicago, IL"
"427","Tom Shaw","Democratic Party","10 of 11","199","1.2%","Election Results for 1987 Primary Election, Alderman, Ward 48, Chicago, IL"
"428","Judith Acheson","Democratic Party","11 of 11","128","0.8%","Election Results for 1987 Primary Election, Alderman, Ward 48, Chicago, IL"
"429","David D. Orr","Democratic Party","1 of 4","9,956","57.2%","Election Results for 1987 Primary Election, Alderman, Ward 49, Chicago, IL"
"430","Jack Fleming","Democratic Party","2 of 4","5,841","33.5%","Election Results for 1987 Primary Election, Alderman, Ward 49, Chicago, IL"
"431","Howard E. Spinner","Democratic Party","3 of 4","1,052","6.0%","Election Results for 1987 Primary Election, Alderman, Ward 49, Chicago, IL"
"432","Grady A. Humphrey","Democratic Party","4 of 4","570","3.3%","Election Results for 1987 Primary Election, Alderman, Ward 49, Chicago, IL"
"433","Lawrence S. Bloom","Democratic Party","1 of 1","19,713","100.0%","Election Results for 1987 Primary Election, Alderman, Ward 5, Chicago, IL"
"434","Bernard L. Stone","Democratic Party","1 of 3","13,588","66.7%","Election Results for 1987 Primary Election, Alderman, Ward 50, Chicago, IL"
"435","Michael Charles Moses","Democratic Party","2 of 3","6,271","30.8%","Election Results for 1987 Primary Election, Alderman, Ward 50, Chicago, IL"
"436","Sander P. Fredman","Democratic Party","3 of 3","499","2.5%","Election Results for 1987 Primary Election, Alderman, Ward 50, Chicago, IL"
"437","Eugene Sawyer","Democratic Party","1 of 4","21,365","75.0%","Election Results for 1987 Primary Election, Alderman, Ward 6, Chicago, IL"
"438","Jules R. Packnett","Democratic Party","2 of 4","3,605","12.7%","Election Results for 1987 Primary Election, Alderman, Ward 6, Chicago, IL"
"439","Adrianne Pace","Democratic Party","3 of 4","1,993","7.0%","Election Results for 1987 Primary Election, Alderman, Ward 6, Chicago, IL"
"440","Milton M. Waters Iii","Democratic Party","4 of 4","1,516","5.3%","Election Results for 1987 Primary Election, Alderman, Ward 6, Chicago, IL"
"441","William M. Beavers","Democratic Party","1 of 5","9,753","57.8%","Election Results for 1987 Primary Election, Alderman, Ward 7, Chicago, IL"
"442","David Vargas","Democratic Party","2 of 5","3,193","18.9%","Election Results for 1987 Primary Election, Alderman, Ward 7, Chicago, IL"
"443","Craig A. Ford","Democratic Party","3 of 5","1,552","9.2%","Election Results for 1987 Primary Election, Alderman, Ward 7, Chicago, IL"
"444","William C. King, Jr.","Democratic Party","4 of 5","1,228","7.3%","Election Results for 1987 Primary Election, Alderman, Ward 7, Chicago, IL"
"445","Charles J. Stewart","Democratic Party","5 of 5","1,162","6.9%","Election Results for 1987 Primary Election, Alderman, Ward 7, Chicago, IL"
"446","Keith A. Caldwell","Democratic Party","1 of 7","14,733","56.6%","Election Results for 1987 Primary Election, Alderman, Ward 8, Chicago, IL"
"447","Marian Humes","Democratic Party","2 of 7","6,016","23.1%","Election Results for 1987 Primary Election, Alderman, Ward 8, Chicago, IL"
"448","Mulbe Dillard","Democratic Party","3 of 7","2,012","7.7%","Election Results for 1987 Primary Election, Alderman, Ward 8, Chicago, IL"
"449","Henrene Honesty","Democratic Party","4 of 7","1,221","4.7%","Election Results for 1987 Primary Election, Alderman, Ward 8, Chicago, IL"
"450","Bryan A. Moore","Democratic Party","5 of 7","878","3.4%","Election Results for 1987 Primary Election, Alderman, Ward 8, Chicago, IL"
"451","Joseph C. Faulkner","Democratic Party","6 of 7","674","2.6%","Election Results for 1987 Primary Election, Alderman, Ward 8, Chicago, IL"
"452","Jeff Carroll, Jr.","Democratic Party","7 of 7","486","1.9%","Election Results for 1987 Primary Election, Alderman, Ward 8, Chicago, IL"
"453","Robert Shaw","Democratic Party","1 of 11","6,442","31.1%","Election Results for 1987 Primary Election, Alderman, Ward 9, Chicago, IL"
"454","Perry H. Hutchinson","Democratic Party","2 of 11","5,712","27.6%","Election Results for 1987 Primary Election, Alderman, Ward 9, Chicago, IL"
"455","Richard J. Dowdell","Democratic Party","3 of 11","2,043","9.9%","Election Results for 1987 Primary Election, Alderman, Ward 9, Chicago, IL"
"456","Bernard C. Taylor","Democratic Party","4 of 11","1,414","6.8%","Election Results for 1987 Primary Election, Alderman, Ward 9, Chicago, IL"
"457","Edna Mccullough","Democratic Party","5 of 11","1,185","5.7%","Election Results for 1987 Primary Election, Alderman, Ward 9, Chicago, IL"
"458","James A. Meredith","Democratic Party","6 of 11","1,142","5.5%","Election Results for 1987 Primary Election, Alderman, Ward 9, Chicago, IL"
"459","James Owens","Democratic Party","7 of 11","887","4.3%","Election Results for 1987 Primary Election, Alderman, Ward 9, Chicago, IL"
"460","Randolph Norris","Democratic Party","8 of 11","718","3.5%","Election Results for 1987 Primary Election, Alderman, Ward 9, Chicago, IL"
"461","Johnny J. O'neal","Democratic Party","9 of 11","459","2.2%","Election Results for 1987 Primary Election, Alderman, Ward 9, Chicago, IL"
"462","William A. Wilson","Democratic Party","10 of 11","394","1.9%","Election Results for 1987 Primary Election, Alderman, Ward 9, Chicago, IL"
"463","Heron Lee O'neal","Democratic Party","11 of 11","305","1.5%","Election Results for 1987 Primary Election, Alderman, Ward 9, Chicago, IL"
"464","Ronald C. Robinson","Other Parties","1 of 4","11,624","50.1%","Election Results for 1989 Primary Election, Alderman, Ward 6, Chicago (Non-Partisan Aldermanic Election)"
"465","John O. Steele","Other Parties","2 of 4","7,819","33.7%","Election Results for 1989 Primary Election, Alderman, Ward 6, Chicago (Non-Partisan Aldermanic Election)"
"466","Derotha H. Rogers","Other Parties","3 of 4","2,248","9.7%","Election Results for 1989 Primary Election, Alderman, Ward 6, Chicago (Non-Partisan Aldermanic Election)"
"467","Roy P. Oliver","Other Parties","4 of 4","1,521","6.6%","Election Results for 1989 Primary Election, Alderman, Ward 6, Chicago (Non-Partisan Aldermanic Election)"
"468","John O. Steele","Other Parties","1 of 2","12,367","51.6%","Election Results for 1989 Special Election, Alderman, Ward 6, Chicago"
"469","Ronald C. Robinson","Other Parties","2 of 2","11,598","48.4%","Election Results for 1989 Special Election, Alderman, Ward 6, Chicago"
"470","John J. Buchanan","Democratic Party","1 of 4","10,021","54.4%","Election Results for 1991 General Election, Alderman, Ward 10, Chicago, IL"
"471","Clem Balanoff","Democratic Party","2 of 4","7,401","40.2%","Election Results for 1991 General Election, Alderman, Ward 10, Chicago, IL"
"472","Under Votes","Other Parties","3 of 4","927","5.0%","Election Results for 1991 General Election, Alderman, Ward 10, Chicago, IL"
"473","Over Votes","Other Parties","4 of 4","79","0.4%","Election Results for 1991 General Election, Alderman, Ward 10, Chicago, IL"
"474","Virgil E. Jones","Democratic Party","1 of 4","4,708","46.0%","Election Results for 1991 General Election, Alderman, Ward 15, Chicago, IL"
"475","Clarence T. White","Other Parties","2 of 4","4,293","42.0%","Election Results for 1991 General Election, Alderman, Ward 15, Chicago, IL"
"476","Under Votes","Other Parties","3 of 4","1,088","10.6%","Election Results for 1991 General Election, Alderman, Ward 15, Chicago, IL"
"477","Over Votes","Other Parties","4 of 4","136","1.3%","Election Results for 1991 General Election, Alderman, Ward 15, Chicago, IL"
"478","Shirley A. Coleman","Other Parties","1 of 4","4,712","46.8%","Election Results for 1991 General Election, Alderman, Ward 16, Chicago, IL"
"479","James C. Taylor","Democratic Party","2 of 4","4,146","41.2%","Election Results for 1991 General Election, Alderman, Ward 16, Chicago, IL"
"480","Under Votes","Other Parties","3 of 4","1,050","10.4%","Election Results for 1991 General Election, Alderman, Ward 16, Chicago, IL"
"481","Over Votes","Other Parties","4 of 4","163","1.6%","Election Results for 1991 General Election, Alderman, Ward 16, Chicago, IL"
"482","Thomas W. Murphy","Other Parties","1 of 4","9,748","47.2%","Election Results for 1991 General Election, Alderman, Ward 18, Chicago, IL"
"483","Joseph F. Lyman","Other Parties","2 of 4","9,596","46.4%","Election Results for 1991 General Election, Alderman, Ward 18, Chicago, IL"
"484","Under Votes","Other Parties","3 of 4","1,223","5.9%","Election Results for 1991 General Election, Alderman, Ward 18, Chicago, IL"
"485","Over Votes","Other Parties","4 of 4","107","0.5%","Election Results for 1991 General Election, Alderman, Ward 18, Chicago, IL"
"486","Arenda Troutman","Other Parties","1 of 4","5,006","55.2%","Election Results for 1991 General Election, Alderman, Ward 20, Chicago, IL"
"487","Dino F. Mcneal","Democratic Party","2 of 4","2,819","31.1%","Election Results for 1991 General Election, Alderman, Ward 20, Chicago, IL"
"488","Under Votes","Other Parties","3 of 4","1,125","12.4%","Election Results for 1991 General Election, Alderman, Ward 20, Chicago, IL"
"489","Over Votes","Other Parties","4 of 4","123","1.4%","Election Results for 1991 General Election, Alderman, Ward 20, Chicago, IL"
"490","Jesse L. Miller, Jr.","Other Parties","1 of 4","5,123","48.5%","Election Results for 1991 General Election, Alderman, Ward 24, Chicago, IL"
"491","William C. Henry","Democratic Party","2 of 4","4,184","39.6%","Election Results for 1991 General Election, Alderman, Ward 24, Chicago, IL"
"492","Under Votes","Other Parties","3 of 4","1,072","10.1%","Election Results for 1991 General Election, Alderman, Ward 24, Chicago, IL"
"493","Over Votes","Other Parties","4 of 4","184","1.7%","Election Results for 1991 General Election, Alderman, Ward 24, Chicago, IL"
"494","Ambrosio Medrano","Democratic Party","1 of 4","3,683","47.0%","Election Results for 1991 General Election, Alderman, Ward 25, Chicago, IL"
"495","Juan M. Soliz","Democratic Party","2 of 4","3,648","46.6%","Election Results for 1991 General Election, Alderman, Ward 25, Chicago, IL"
"496","Under Votes","Other Parties","3 of 4","440","5.6%","Election Results for 1991 General Election, Alderman, Ward 25, Chicago, IL"
"497","Over Votes","Other Parties","4 of 4","65","0.8%","Election Results for 1991 General Election, Alderman, Ward 25, Chicago, IL"
"498","Rickey R. Hendon","Democratic Party","1 of 4","4,628","59.1%","Election Results for 1991 General Election, Alderman, Ward 27, Chicago, IL"
"499","Sheneather Y. Butler","Democratic Party","2 of 4","2,184","27.9%","Election Results for 1991 General Election, Alderman, Ward 27, Chicago, IL"
"500","Under Votes","Other Parties","3 of 4","923","11.8%","Election Results for 1991 General Election, Alderman, Ward 27, Chicago, IL"
"501","Over Votes","Other Parties","4 of 4","95","1.2%","Election Results for 1991 General Election, Alderman, Ward 27, Chicago, IL"
"502","Sam Burrell","Other Parties","1 of 4","4,504","46.9%","Election Results for 1991 General Election, Alderman, Ward 29, Chicago, IL"
"503","Iola Mcgowan","Other Parties","2 of 4","4,068","42.3%","Election Results for 1991 General Election, Alderman, Ward 29, Chicago, IL"
"504","Under Votes","Other Parties","3 of 4","875","9.1%","Election Results for 1991 General Election, Alderman, Ward 29, Chicago, IL"
"505","Over Votes","Other Parties","4 of 4","162","1.7%","Election Results for 1991 General Election, Alderman, Ward 29, Chicago, IL"
"506","Regner Suarez","Other Parties","1 of 4","6,010","64.1%","Election Results for 1991 General Election, Alderman, Ward 31, Chicago, IL"
"507","Gloria Chevere","Democratic Party","2 of 4","2,477","26.4%","Election Results for 1991 General Election, Alderman, Ward 31, Chicago, IL"
"508","Under Votes","Other Parties","3 of 4","757","8.1%","Election Results for 1991 General Election, Alderman, Ward 31, Chicago, IL"
"509","Over Votes","Other Parties","4 of 4","137","1.5%","Election Results for 1991 General Election, Alderman, Ward 31, Chicago, IL"
"510","Michael A. Wojcik","Democratic Party","1 of 4","7,278","53.1%","Election Results for 1991 General Election, Alderman, Ward 35, Chicago, IL"
"511","Chester R. Hornowski","Republican Party","2 of 4","5,512","40.2%","Election Results for 1991 General Election, Alderman, Ward 35, Chicago, IL"
"512","Under Votes","Other Parties","3 of 4","841","6.1%","Election Results for 1991 General Election, Alderman, Ward 35, Chicago, IL"
"513","Over Votes","Other Parties","4 of 4","65","0.5%","Election Results for 1991 General Election, Alderman, Ward 35, Chicago, IL"
"514","Percy Z. Giles","Democratic Party","1 of 4","4,727","53.8%","Election Results for 1991 General Election, Alderman, Ward 37, Chicago, IL"
"515","John Baggett","Other Parties","2 of 4","2,994","34.0%","Election Results for 1991 General Election, Alderman, Ward 37, Chicago, IL"
"516","Under Votes","Other Parties","3 of 4","931","10.6%","Election Results for 1991 General Election, Alderman, Ward 37, Chicago, IL"
"517","Over Votes","Other Parties","4 of 4","142","1.6%","Election Results for 1991 General Election, Alderman, Ward 37, Chicago, IL"
"518","Thomas W. Cullerton","Democratic Party","1 of 4","11,635","51.5%","Election Results for 1991 General Election, Alderman, Ward 38, Chicago, IL"
"519","Martin J. Serwinski","Other Parties","2 of 4","9,822","43.5%","Election Results for 1991 General Election, Alderman, Ward 38, Chicago, IL"
"520","Under Votes","Other Parties","3 of 4","1,041","4.6%","Election Results for 1991 General Election, Alderman, Ward 38, Chicago, IL"
"521","Over Votes","Other Parties","4 of 4","92","0.4%","Election Results for 1991 General Election, Alderman, Ward 38, Chicago, IL"
"522","Toni Preckwinkle","Democratic Party","1 of 4","5,487","46.5%","Election Results for 1991 General Election, Alderman, Ward 4, Chicago, IL"
"523","Timothy C. Evans","Washington Party","2 of 4","5,378","45.6%","Election Results for 1991 General Election, Alderman, Ward 4, Chicago, IL"
"524","Under Votes","Other Parties","3 of 4","842","7.1%","Election Results for 1991 General Election, Alderman, Ward 4, Chicago, IL"
"525","Over Votes","Other Parties","4 of 4","81","0.7%","Election Results for 1991 General Election, Alderman, Ward 4, Chicago, IL"
